date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,atm_2d,atm_5d,stress_-10%,stress_-5%,stress_+3%,stress_+5%,stress_+8%,stress_+12%,ret,real_hourly
2018-12-28,221.281,2485.74,0.249166,0.00753369,0.0121538,-0.383348,0.00541089,0.738308,873.491,0,40,0,0.287781,0.30281,-2.30375,-1.03991,-0.439979,-2.27667,-8.5456,-21.2271,0.00319099,False
2018-12-31,222.228,2506.85,0.19038,0.00580815,0.00809672,0.395687,0.00318862,0.360733,873.725,0,40,0,0.22057,0.231539,-1.45318,-0.672758,-0.496594,-2.61915,-10.0729,-23.9517,0.00427759,False
2019-01-02,222.296,2510.03,0.158857,0.00489588,0,-0.20651,0.00176195,0.237633,869.169,0,40,0,0.183929,0.193076,-1.00524,-0.466735,-0.369898,-2.47139,-10.5249,-24.6889,0.000309543,False
2019-01-03,222.071,2447.89,0.201112,0.00612729,0,-0.375423,0.00146978,0.28113,851.81,0,40,0,0.234272,0.246163,-0.93856,-0.431272,-0.0733431,-0.840233,-5.13884,-17.6265,-0.00101398,False
2019-01-04,222.724,2531.94,0.150395,0.00464535,0,1.10364,0.00387013,0.873239,879.05,0,40,0,0.174636,0.1835,-3.37711,-1.52229,-1.42526,-5.45964,-15.0134,-28.6624,0.00294236,False
2019-01-07,223.093,2549.69,0.142363,0.00441429,0.232502,0.449569,0.00753036,0.852132,881.187,0,40,0,0.167452,0.175653,-3.69622,-1.68063,-2.04969,-6.9874,-16.8076,-30.5757,0.00165492,False
2019-01-08,223.505,2574.41,0.136474,0.00424562,0.274814,0.853502,0.0100615,1.14137,884.559,0,40,0,0.158394,0.166151,-5.05155,-2.29184,-2.7031,-7.88205,-17.5271,-30.7964,0.00184504,False
2019-01-09,223.951,2584.96,0.134494,0.00418786,0.486029,0.394865,0.0102373,0.723498,881.896,0,40,0,0.155951,0.163707,-3.66785,-1.6915,-2.52827,-7.83744,-17.9164,-31.7221,0.00199897,False
2019-01-10,224.208,2596.64,0.136692,0.00424867,0.394579,0.198552,0.00648915,0.396981,879.799,0,40,0,0.154433,0.162272,-2.27488,-1.06644,-2.45304,-8.02501,-18.5542,-32.9015,0.00114509,False
2019-01-11,224.39,2596.26,0.128663,0.00402937,0,-0.0802351,0.00221227,0.256423,877.067,0,40,0,0.14622,0.153856,-1.4687,-0.691941,-1.75448,-7.16962,-17.8603,-32.4779,0.000815071,False
2019-01-14,224.399,2582.61,0.114751,0.00363513,0,-0.193239,0.00131184,0.164806,872.275,0,40,0,0.13366,0.140307,-0.958955,-0.452683,-0.936114,-5.58005,-16.2547,-30.9964,3.64645e-05,False
2019-01-15,224.607,2610.3,0.1126,0.00358625,0,0.286272,0.00189094,0.349622,880.116,0,40,0,0.129147,0.13557,-2.12563,-0.997112,-2.40156,-8.4109,-19.0836,-33.5681,0.000929499,False
2019-01-16,224.8,2616.1,0.116365,0.00367576,0,0.0942722,0.002073,0.36222,880.47,0,40,0,0.134036,0.140839,-2.20545,-1.03536,-2.58013,-8.60756,-19.2854,-33.7037,0.000856122,False
2019-01-17,224.934,2635.96,0.120608,0.00379177,0.00333657,0.238922,0.0115295,0.568441,884.311,0,40,0,0.13542,0.142492,-3.53718,-1.65759,-3.40504,-9.4531,-19.8279,-33.7467,0.000598982,False
2019-01-18,225.398,2670.71,0.110393,0.00349566,0.56235,1.69403,0.0237835,1.31941,890.473,0,40,0,0.124726,0.13124,-7.4929,-3.46967,-3.95267,-9.53369,-18.7013,-31.0655,0.00206206,False
2019-01-22,224.734,2632.9,0.140265,0.00435181,0,-1.84238,0.0102828,0.266741,875.601,0,40,0,0.159579,0.167394,-1.43624,-0.675244,-1.50441,-6.44751,-16.9477,-31.566,-0.00294625,False
2019-01-23,224.953,2638.7,0.137948,0.00428381,0,0.0944164,0.00233554,0.273453,876.475,0,40,0,0.157756,0.165602,-1.41324,-0.662166,-1.35438,-6.21356,-16.7578,-31.3454,0.000974633,False
2019-01-24,225.143,2642.33,0.129042,0.00402516,0,0.0377434,0.0016411,0.244962,877.155,0,40,0,0.148314,0.155842,-1.31832,-0.618636,-1.25474,-6.12512,-16.7843,-31.3863,0.00084289,False
2019-01-25,225.479,2664.76,0.114985,0.00362494,0,0.285673,0.00209095,0.30372,883.582,0,40,0,0.132774,0.139513,-1.87798,-0.884781,-2.36537,-8.30664,-19.0676,-33.6264,0.00149321,False
2019-01-28,225.334,2643.85,0.12315,0.00386125,0,-0.365679,0.00200031,0.200108,877.3,0,40,0,0.143325,0.150344,-1.12233,-0.529058,-1.13843,-6.09103,-16.8052,-31.5064,-0.000642095,False
2019-01-29,225.398,2640,0.127534,0.00398692,0,-0.0289035,0.00163966,0.229236,876.53,0,40,0,0.150436,0.157804,-1.21144,-0.568509,-1.0346,-5.65235,-16.2621,-30.8888,0.000283471,False
2019-01-30,225.627,2681.05,0.119885,0.00376643,0,0.444015,0.00563082,0.554311,887.532,0,40,0,0.13736,0.144191,-3.18865,-1.48715,-3.0734,-9.147,-19.5731,-33.6533,0.00101788,False
2019-01-31,225.961,2704.1,0.113944,0.00359833,0.110299,0.572008,0.013563,0.77888,891.199,0,40,0,0.1285,0.135022,-4.79119,-2.23775,-3.80647,-9.79972,-19.8108,-33.294,0.00147997,False
2019-02-01,226.417,2706.53,0.0985014,0.00318072,0.0249138,-0.0435388,0.00514369,0.344786,888.697,0,40,0,0.1116,0.117264,-2.78457,-1.32703,-3.62781,-9.97584,-20.598,-34.9433,0.00201724,False
2019-02-04,226.899,2724.87,0.0863442,0.00285808,0.156754,0.529465,0.00853187,0.310709,890.357,0,40,0,0.0981178,0.102923,-2.78625,-1.33273,-4.31221,-11.0663,-21.6781,-36.1305,0.00212768,False
