date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,ret,real_hourly
2022-09-16,245.214,3873.33,0.154308,0.00473217,0,-0.119177,0.000954642,0.237089,848.149,0,40,0,-0.00021438,False
2022-09-19,245.335,3899.89,0.15075,0.00462833,0,0.0533392,0.00130972,0.313953,858.12,0,40,0,0.000494618,False
2022-09-20,245.278,3855.93,0.159329,0.0048785,0,-0.299337,0.00137565,0.225057,852.077,0,40,0,-0.000233827,False
2022-09-21,245.214,3789.93,0.164054,0.0050189,0,-0.244768,0.00148034,0.202313,844.658,0,40,0,-0.000262843,False
2022-09-22,245.272,3757.99,0.16234,0.00496998,0,-0.0919512,0.000838615,0.208809,845.406,0,40,0,0.000236871,False
2022-09-23,245.202,3693.23,0.171183,0.00523453,0,-0.229418,0.000946149,0.213863,841.032,0,40,0,-0.000283237,False
2022-09-26,245.203,3655.04,0.185198,0.0056438,0,-0.141061,0.000994855,0.250145,843.172,0,40,0,4.95846e-06,False
2022-09-27,245.286,3647.29,0.186157,0.0056723,0,-0.0575407,0.00218852,0.288241,849.623,0,40,0,0.000337107,False
2022-09-28,245.577,3719.04,0.174741,0.00533736,0,0.416979,0.0022817,0.581805,866.972,0,40,0,0.00118448,False
2022-09-29,245.352,3640.47,0.185122,0.00564251,0,-0.735162,0.00206568,0.248306,851.92,0,40,0,-0.000913154,False
2022-09-30,245.338,3585.62,0.182209,0.00555879,0,-0.211363,0.000984249,0.227216,845.295,0,40,0,-5.95335e-05,False
2022-10-03,245.601,3678.43,0.169715,0.00519206,0,0.604189,0.002475,0.730075,866.535,0,40,0,0.00107353,False
2022-10-04,245.632,3790.93,0.162717,0.00498406,0.949475,3.22485,0.00862293,3.12352,883.632,0,40,0,0.000126398,False
2022-10-05,245.853,3783.28,0.163533,0.00500406,0.424163,-1.26313,0.0105693,1.36344,873.636,0,40,0,0.000898697,False
2022-10-06,246.183,3744.52,0.176009,0.00536792,0,-0.808566,0.00319156,0.392609,860.565,0,40,0,0.00134111,False
2022-10-07,246.031,3639.66,0.180515,0.00551078,0,-0.50888,0.0017479,0.208984,841.397,0,40,0,-0.000617425,False
2022-10-10,246.049,3612.39,0.187398,0.00571291,0,-0.111951,0.0009876,0.259301,844.268,0,40,0,7.49051e-05,False
2022-10-11,246.053,3588.84,0.201319,0.00612109,0,-0.148031,0.000978779,0.301275,848.744,0,40,0,1.7125e-05,False
2022-10-12,246.165,3577.03,0.207315,0.00629952,0,-0.058508,0.00089647,0.330762,853.853,0,40,0,0.000455691,False
2022-10-13,245.798,3669.91,0.186418,0.00567948,0,-0.100669,0.00387033,0.77479,874.09,0,40,0,-0.00149424,False
2022-10-14,245.704,3583.07,0.173532,0.00530617,0,-0.81547,0.00505254,0.215802,854.486,0,40,0,-0.000379611,False
2022-10-17,245.769,3677.95,0.183639,0.00560084,0,0.701164,0.00343612,1.02712,872.35,0,40,0,0.000262301,False
2022-10-18,245.553,3719.98,0.179432,0.00547394,0.154123,-0.0609721,0.0128846,1.18904,874.05,0,40,0,-0.000878648,False
2022-10-19,245.923,3695.16,0.170577,0.00521764,0,-0.60231,0.00282611,0.379147,863.616,0,40,0,0.00150729,False
2022-10-20,246.042,3665.78,0.137887,0.00427831,0,-0.226042,0.00218109,0.16511,856.833,0,40,0,0.000485609,False
2022-10-21,245.425,3752.75,0.175312,0.00534778,0.00471454,0.580017,0.0044064,1.52368,871.192,0,40,0,-0.00251058,False
2022-10-24,245.934,3797.34,0.178647,0.00544712,0.367013,1.04524,0.00953112,1.85643,874.478,0,40,0,0.00207454,False
2022-10-25,246.617,3859.11,0.171885,0.00524453,0.948165,2.1276,0.0026193,2.51695,879.577,0,40,0,0.00277691,False
2022-10-26,247.1,3830.6,0.171075,0.0052207,0.299691,-1.20581,0.00423605,0.689689,867.517,0,40,0,0.00196001,False
2022-10-27,247.388,3807.3,0.172864,0.00527371,0.0161088,-0.300083,0.00184426,0.2515,861.023,0,40,0,0.00116448,False
2022-10-28,247.412,3901.06,0.168097,0.0051317,0,0.514339,0.00410307,0.900459,877.46,0,40,0,9.79932e-05,False
2022-10-31,247.659,3871.98,0.164494,0.00502814,0,-0.479578,0.0019303,0.331819,868.684,0,40,0,0.000996707,False
2022-11-01,247.66,3856.1,0.166521,0.00509154,0,-0.226091,0.0024951,0.262883,865.209,0,40,0,7.18622e-06,False
2022-11-02,247.488,3759.69,0.167307,0.00511843,0,-0.403826,0.00109251,0.192438,849.629,0,40,0,-0.00069565,False
2022-11-03,247.464,3719.89,0.167756,0.00513421,0,-0.168754,0.00103853,0.20956,849.481,0,40,0,-9.81596e-05,False
2022-11-04,247.552,3770.55,0.160122,0.00490747,0,0.160627,0.00282793,0.434831,865.933,0,40,0,0.000354569,False
2022-11-07,247.981,3806.8,0.158838,0.00486836,0,0.39231,0.0017679,0.549589,874.284,0,40,0,0.00173602,False
2022-11-08,248.149,3828.11,0.170893,0.00521843,0,0.0664914,0.00515773,0.608619,876.366,0,40,0,0.000677384,False
2022-11-09,248.052,3748.57,0.175272,0.0053546,0,-0.649816,0.00239893,0.223323,859.604,0,40,0,-0.000390901,False
2022-11-10,246.824,3956.37,0.152937,0.00468682,0.895033,3.88918,0.0139021,4.58001,894.796,0,40,0,-0.00495136,False
2022-11-11,247.914,3992.93,0.131082,0.00406284,2.35825,2.33721,0.011503,3.58497,889.655,0,40,0,0.00441416,False
2022-11-14,248.362,3957.25,0.140796,0.00433875,0.547177,-1.64401,0.00639199,1.07573,874.307,0,40,0,0.00180751,False
2022-11-15,248.338,3991.73,0.146061,0.00448855,0.676365,0.384984,0.00711421,0.942577,875.32,0,40,0,-9.5696e-05,False
2022-11-16,248.629,3958.79,0.131156,0.00406337,0.124341,-0.476907,0.00202037,0.175599,865.925,0,40,0,0.00117099,False
2022-11-17,248.644,3946.56,0.111887,0.0035207,0,-0.129073,0.000931434,0.139229,865.773,0,40,0,5.9251e-05,False
2022-11-18,248.566,3965.34,0.139902,0.00430822,0,0.0644046,0.00201533,0.414393,870.756,0,40,0,-0.000310409,False
2022-11-21,248.718,3949.94,0.136879,0.00422857,0,-0.16155,0.00088324,0.232809,868.449,0,40,0,0.000610706,False
2022-11-22,249.048,4003.58,0.130677,0.00404382,0,0.449819,0.00177308,0.477484,878.361,0,40,0,0.00132682,False
2022-11-23,249.388,4027.26,0.125992,0.00390965,0,0.190397,0.00168498,0.448427,879.771,0,40,0,0.0013646,False
2022-11-25,249.639,4026.12,0.123683,0.00384344,0,-0.0460626,0.0011812,0.269958,876.661,0,40,0,0.00100672,False
2022-11-28,249.469,3963.94,0.140475,0.00433183,0,-0.394288,0.0013668,0.180297,865.059,0,40,0,-0.000680386,False
2022-11-29,249.545,3957.63,0.141803,0.00436846,0,-0.0253897,0.000840682,0.215795,866.763,0,40,0,0.000303469,False
2022-11-30,249.313,4080.11,0.136092,0.00419573,0.118871,1.40329,0.005279,1.85838,888.844,0,40,0,-0.000927878,False
2022-12-01,250.077,4076.57,0.133338,0.0041177,0.133075,-0.220331,0.00655561,0.863737,883.449,0,40,0,0.00306404,False
2022-12-02,250.063,4071.7,0.12979,0.0040179,0.00267985,-0.614176,0.00425554,0.382608,878.892,0,40,0,-5.68225e-05,False
2022-12-05,249.835,3998.84,0.147146,0.00452099,0,-0.566003,0.00164868,0.185497,864.633,0,40,0,-0.000911433,False
2022-12-06,249.795,3941.26,0.167314,0.00511094,0,-0.169263,0.00113739,0.216958,858.686,0,40,0,-0.000158735,False
2022-12-07,249.868,3933.92,0.173446,0.00529165,0,-0.0395684,0.000967335,0.272406,864.683,0,40,0,0.000288918,False
2022-12-08,250.089,3963.51,0.173297,0.0052802,0,0.167965,0.00124901,0.386024,874.928,0,40,0,0.00088493,False
2022-12-09,250.175,3934.38,0.178544,0.00543833,0,-0.184937,0.00132173,0.286973,872,0,40,0,0.000343466,False
2022-12-12,249.955,3990.56,0.227095,0.00686243,0,0.324977,0.00250617,1.04965,882.534,0,40,0,-0.000879275,False
2022-12-13,249.965,4019.65,0.186565,0.00566854,0,-0.683553,0.012189,0.524805,884.106,0,40,0,4.00003e-05,False
2022-12-14,250.153,3995.32,0.135306,0.00417682,0,-0.302224,0.00146717,0.164406,876.364,0,40,0,0.000751455,False
2022-12-15,250.055,3895.75,0.120441,0.00376657,0,-0.249544,0.000981349,0.128261,859.624,0,40,0,-0.000390586,False
2022-12-16,250.041,3852.36,0.133605,0.00414503,0,-0.103071,0.000804351,0.167982,858.334,0,40,0,-5.65354e-05,False
2022-12-19,250.057,3817.66,0.129574,0.00403443,0,-0.114945,0.00077785,0.161377,860.508,0,40,0,6.56762e-05,False
2022-12-20,250.142,3821.62,0.130173,0.00405487,0,0.00288192,0.0011093,0.204212,868.976,0,40,0,0.000340143,False
2022-12-21,250.376,3878.44,0.124746,0.00389297,0,0.425152,0.00298068,0.513709,882.885,0,40,0,0.000933577,False
2022-12-22,250.16,3822.39,0.134482,0.00417177,0,-0.660855,0.00280723,0.195856,871.786,0,40,0,-0.000860701,False
2022-12-23,250.249,3844.82,0.130652,0.00406185,0,0.0343434,0.0012931,0.266708,876.837,0,40,0,0.000354927,False
2022-12-27,250.27,3829.25,0.135031,0.00419129,0,-0.166779,0.00132131,0.208176,873.739,0,40,0,8.5e-05,False
2022-12-28,250.241,3783.22,0.138874,0.00430227,0,-0.192592,0.00129887,0.178095,867.054,0,40,0,-0.000116823,False
2022-12-29,250.411,3849.28,0.135503,0.0042025,0,0.401263,0.00261664,0.53799,881.972,0,40,0,0.000679549,False
2022-12-30,250.551,3839.5,0.136098,0.00421608,0,-0.210913,0.00168521,0.317408,878.761,0,40,0,0.000558546,False
2023-01-03,250.332,3824.14,0.138482,0.00428275,0,-0.44669,0.00282077,0.220601,875.437,0,40,0,-0.000872098,False
2023-01-04,250.605,3852.97,0.131226,0.00407934,0,0.220516,0.0019572,0.293952,880.452,0,40,0,0.00108797,False
2023-01-05,250.606,3808.1,0.140014,0.00433119,0,-0.238564,0.0013893,0.188927,871.453,0,40,0,3.01565e-06,False
2023-01-06,250.708,3895.08,0.126308,0.00393512,0,0.586802,0.00385518,0.791713,888.095,0,40,0,0.000409144,False
2023-01-09,250.832,3892.09,0.134927,0.00418082,0,-0.30445,0.0066731,0.487403,883.734,0,40,0,0.000494331,False
2023-01-10,251.297,3919.25,0.132766,0.0041206,0.00699229,0.360103,0.00204641,0.501854,885.783,0,40,0,0.00185486,False
2023-01-11,251.708,3969.61,0.141421,0.0043618,0.202448,1.01189,0.00490767,1.03253,891.184,0,40,0,0.00163516,False
2023-01-12,252.631,3983.17,0.103244,0.00328053,0.174148,0.194436,0.00528921,0.224854,889.209,0,40,0,0.00366552,False
2023-01-13,252.734,3999.09,0.0857376,0.00280447,0,-0.0396387,0.00250963,0.162886,889.213,0,40,0,0.000406732,False
2023-01-17,252.694,3990.97,0.104087,0.00330238,0,-0.0920809,0.00184647,0.209377,885.278,0,40,0,-0.000156823,False
2023-01-18,252.57,3928.86,0.107569,0.00340787,0,-0.306882,0.00278896,0.128079,874.44,0,40,0,-0.000491552,False
2023-01-19,252.564,3898.85,0.0978849,0.00314536,0,-0.113404,0.000729769,0.113972,873.384,0,40,0,-2.09311e-05,False
2023-01-20,252.222,3972.61,0.119469,0.00373261,0,0.662533,0.00410543,1.23013,889.647,0,40,0,-0.00135408,False
2023-01-23,252.611,4019.81,0.115627,0.00362024,0.612276,1.68124,0.00648584,2.01599,895.984,0,40,0,0.0015408,False
2023-01-24,253.03,4016.95,0.116439,0.00364339,0.33297,-0.370136,0.00602487,1.00066,891.421,0,40,0,0.00165866,False
2023-01-25,252.956,4016.22,0.119959,0.00374569,0.181903,-0.538977,0.00485284,0.464878,887.783,0,40,0,-0.000291415,False
2023-01-26,253.156,4060.43,0.117205,0.00366517,0.564298,0.635617,0.006325,0.444026,892.771,0,40,0,0.000788221,False
2023-01-27,253.354,4070.56,0.116098,0.00363427,0,-0.00488398,0.00264764,0.350599,891.595,0,40,0,0.000783548,False
2023-01-30,253.289,4017.77,0.129194,0.00400965,0,-0.364299,0.00227005,0.174671,881.042,0,40,0,-0.00025836,False
2023-01-31,253.529,4076.6,0.123534,0.00384518,0,0.401342,0.00202522,0.45348,892.111,0,40,0,0.000948312,False
2023-02-01,253.534,4119.21,0.112919,0.00353925,0.0738236,0.157293,0.00619907,0.635364,896.888,0,40,0,1.88012e-05,False
2023-02-02,253.416,4179.76,0.11409,0.00356846,0.584539,1.39146,0.0134741,1.65699,902.44,0,40,0,-0.000464057,False
2023-02-03,253.055,4136.48,0.114704,0.00358865,0.0023326,-1.85863,0.00622431,0.261546,888.631,0,40,0,-0.00142306,False
2023-02-06,253.045,4111.08,0.124111,0.00385524,0,-0.211418,0.00121591,0.179178,881.936,0,40,0,-3.95559e-05,False
2023-02-07,253.137,4164,0.117372,0.00366765,0,0.201252,0.00249009,0.399874,890.812,0,40,0,0.000362667,False
2023-02-08,253.134,4117.86,0.129625,0.00401367,0,-0.333311,0.00188422,0.193188,881.952,0,40,0,-1.14493e-05,False
2023-02-09,253.105,4081.5,0.145414,0.00446608,0,-0.152162,0.00185859,0.209229,878.146,0,40,0,-0.000115013,False
2023-02-10,253.191,4090.46,0.14067,0.00433474,0,-0.0170371,0.000992005,0.24167,882.733,0,40,0,0.000339246,False
2023-02-13,253.309,4137.29,0.152155,0.00465911,0,0.301641,0.00182651,0.57082,891.882,0,40,0,0.000466684,False
